symbol,total_quantity
NGPL,1080481
HURJA,575018
JFL,545578
RHPL,526327
HIDCLP,458749
PHCL,430624
BFC,400190
NRN,361373
PSF,333280
SHEL,283586
MBJC,272939
SHPC,272865
API,264885
NHPC,234786
KBL,232519
RFPL,222826
SJCL,208625
UPPER,206603
SMHL,194681
SFCL,188984
SANIMA,183455
SBI,180713
NIFRA,175220
KRBL,175199
AKJCL,174541
NIMB,174138
PFL,172941
GBIME,172664
AKPL,171133
RIDI,170921
HIDCL,168087
SAPDBL,165937
NBF3,160201
HDHPC,157578
AHPC,153652
NICA,152648
HRL,151737
MEN,151203
HLIPO,150000
SAHAS,147575
CHCL,141493
LSL,141135
SIGS3,140620
SEF,134566
UMRH,132150
GHL,128975
PRVU,128154
SBCF,127380
NABIL,125923
NFS,125568
MDB,121668
SHIVM,121345
PROFL,119102
GLH,118007
SADBL,113517
SFMF,110610
TSHL,110460
PCBL,109584
SSHL,108336
SCB,106491
CFCL,103632
SHINE,100716
CMF1,100680
MLBL,100526
UMHL,99257
BARUN,96382
JBBL,94111
UPCL,92214
SPDL,89223
MMKJL,88418
SAEF,87640
EDBL,86024
RLFL,85173
HLI,82623
MBL,82393
NMB,80616
RMF1,77200
ICFC,75519
SJLIC,75222
USHEC,75047
SGIC,74171
HPPL,73893
HBL,72458
HATHY,72376
SINDU,71605
SONA,70753
RADHI,70118
NLG,69697
MFIL,67980
IHL,65762
SHL,65643
CZBIL,64226
LEC,63353
SBL,60722
CLI,60554
HHL,58495
UHEWA,58109
NRM,57852
MKHL,57398
MAKAR,56224
SPC,56136
UNHPL,55775
NBF2,54800
ADBL,53087
NMB50,52100
GMFIL,51488
EBL,51130
NTC,50861
MEHL,48786
RNLI,48334
MNBBL,47464
BEDC,46356
SARBTM,46077
CGH,45798
IGI,45612
ILI,44759
NICGF,44490
GCIL,44454
GFCL,44074
ULHC,44065
JOSHI,43901
NHDL,43512
NBL,43092
NLIC,42833
MPFL,42699
SLCF,42620
NABBC,42475
HDL,42255
MCHL,42248
SIFC,41948
MKJC,41693
SMJC,40926
GUFL,40859
AVYAN,39981
MEL,39842
TAMOR,39656
ALICL,39554
SRLI,39407
VLUCL,38705
NICSF,38400
GRDBL,37921
BNHC,37589
MKHC,37401
NRIC,37153
GBBL,36303
CITY,36158
SAGF,30800
CHDC,30566
NLICL,29814
LBBL,29026
SNLI,28855
TPC,28499
MHCL,28146
KBLPO,27334
UAIL,25869
BHDC,25496
KSBBL,25044
DOLTI,23778
GVL,23690
DHPL,23452
HEI,23233
NICL,23156
SIKLES,21982
MLBBL,21154
PPCL,21113
RAWA,21113
TVCL,20285
CHL,20092
NMFBSP,20000
DORDI,19962
SALICO,19865
CMF2,19800
LUK,19590
GBLBS,19399
USHL,19331
SMPDA,19188
SPL,18644
LICN,18564
KKHC,18442
SLBBL,17871
MHNL,16428
CKHL,16334
NUBL,16166
KEF,16158
CORBL,16087
JBLB,16034
RHGCL,15668
SMFBS,15579
FMDBL,15108
BHL,14854
CBBL,14676
SKBBL,14440
SGHC,14402
NADEP,14324
KPCL,14233
SIGS2,14000
MANDU,13825
AHL,13678
NIBLGF,13600
CYCL,13468
RSDC,13451
SPIL,13363
VLBS,13330
BGWT,12894
NICGF2,12720
GILB,12579
HLBSL,12354
BHPL,12337
NMLBBL,12182
HEIP,12088
MLBS,11690
MKCL,11606
MSHL,11560
NIBLSTF,11320
NESDO,11052
H8020,11000
PMHPL,10913
MMF1,10820
KSY,10500
PPL,10492
SMH,10488
SLBSL,10268
DDBL,10087
JSLBB,9829
SICL,9729
NICLBSL,9681
NYADI,9492
ILBS,9199
NIBSF2,9020
BPCL,8912
PMLI,8757
SPHL,8559
MLBSL,8506
NIMBPO,8454
UNLB,8259
EHPL,8177
GLBSL,8145
MHL,8005
SMB,7885
NIL,7725
USLB,7656
MSLB,7652
KDBY,7600
SHLB,7594
CIT,7579
RURU,7500
ALBSL,7045
NWCL,6884
TRH,6437
NMFBS,6118
ACLBSL,6070
SWMF,6062
FOWAD,5845
DLBS,5778
GMFBS,5360
KMCDB,4496
KDL,4329
GIBF1,4100
MERO,3961
NSIF2,3960
SWBBL,3832
WNLB,3729
PRIN,3306
LVF2,3000
OHL,2942
ANLB,2837
ENL,2704
SMATA,2577
LLBS,2560
NMBMF,2138
NICFC,2000
STC,1960
PRSF,1900
ULBSL,1740
MATRI,1566
SFEF,1400
KBSH,1074
RMF2,1000
RBCL,918
SAMAJ,917
SDBD87,740
C30MF,500
RBCLPO,440
SBD87,300
GBILD86/87,300
ICFCD83,300
SBID83,260
SRBLD83,252
NBLD85,240
BNT,230
ADBLD83,200
NICBF,200
PBLD84,175
BBC,152
BNL,120
CCBD88,114
PBD85,100
SBLD2082,100
NMBD2085,100
EBLD85,100
GBBD85,75
KSBBLD87,70
UNL,70
BOKD86,50
PBD88,50
NABILD87,50
NICD88,50
NBLD82,50
NIFRAUR85/86,45
EBLD86,25
SAND2085,25
MFLD85,20
